Category,품목,보관법,유통기한
과일류,사과,냉장 보관 (서늘하고 건조한 곳에 두면 오래 보관 가능),약 1개월
과일류,바나나,실온 보관 (덜 익었을 때 냉장 보관),5-7일
과일류,포도,냉장 보관 (씻지 않고 밀폐 용기에 보관),약 1-2주
과일류,키위,실온 보관 (익은 후 냉장 보관),1-2주
과일류,레몬,냉장 보관 (밀폐 용기에 넣으면 신선도 유지),3-4주
과일류,망고,실온 보관 (익은 후 냉장 보관),5-7일
과일류,오렌지,냉장 보관,약 3-4주
과일류,배,냉장 보관,약 1개월
과일류,파인애플,실온 보관 (익은 후 냉장 보관),5-7일
과일류,석류,냉장 보관,약 1-2개월
과일류,수박,실온 또는 냉장 보관 (자른 후엔 냉장 보관),1-2주 (자른 후 3-4일)
채소류,비트,냉장 보관 (랩이나 봉지로 감싸서 보관),약 2-3주
채소류,피망/파프리카,냉장 보관,약 1-2주
채소류,양배추,냉장 보관,약 1-2개월
채소류,당근,냉장 보관 (습기 있는 타월에 싸서 보관),약 1개월
채소류,콜리플라워,냉장 보관 (랩이나 봉지에 싸서 보관),약 1주
채소류,고추,냉장 보관,약 1주
채소류,옥수수,냉장 보관 (껍질 채 보관),1-2일
채소류,오이,냉장 보관 (종이 타월에 싸서 보관),약 1주
채소류,가지,냉장 보관 (종이 타월에 싸서 보관),약 1주
채소류,마늘,서늘하고 건조한 곳에 보관,약 2-3개월
채소류,생강,냉장 보관,약 1개월
채소류,양파,서늘하고 건조한 곳에 보관,약 2-3개월
채소류,완두콩,냉장 보관 (신선도를 위해 밀폐 보관),3-5일
채소류,감자,서늘하고 어두운 곳에 보관,약 2-3개월
채소류,무/래디시,냉장 보관,약 1-2주
채소류,시금치,냉장 보관 (습기 있는 타월에 싸서 보관),약 3-5일
채소류,고구마,서늘하고 건조한 곳에 보관,약 2-3주
채소류,토마토,냉장 보관(),
