scale_pv,count
0.0,111208
3.04,3680
3.05,3589
3.03,3370
3.06,2810
3.02,2652
3.07,2283
3.01,2072
3.08,1551
3.0,1273
3.09,1041
2.99,927
3.1,550
2.98,504
0.1,346
3.11,321
0.02,291
2.97,273
655.27,259
655.35,242
0.11,238
655.28,228
0.01,221
655.26,186
0.12,181
3.12,177
0.03,163
655.34,149
2.96,130
2.95,122
655.31,117
3.13,110
655.29,106
0.19,105
655.33,102
655.3,100
3.15,95
655.32,91
3.14,86
655.25,61
0.23,57
0.04,55
0.05,47
3.16,43
0.18,41
3.17,40
2.94,39
0.15,38
0.06,36
0.13,31
3.2,31
2.91,30
655.24,30
2.93,29
3.19,29
0.17,26
0.16,25
4.04,19
2.92,19
2.89,18
3.22,17
655.23,17
9.17,16
3.18,15
2.76,15
3.21,15
0.07,15
0.98,15
3.25,12
0.82,11
655.22,11
2.9,10
3.29,9
2.77,9
3.43,8
0.22,8
3.27,7
1.34,7
2.82,7
3.23,7
2.56,7
2.74,7
3.85,7
15.1,7
2.75,7
2.57,6
3.84,6
3.59,5
3.35,5
1.33,5
4.03,4
2.88,4
2.72,4
0.21,4
2.78,4
4.0,4
3.34,4
3.41,4
655.2,4
2.8,4
2.73,4
15.3,4
2.87,4
2.83,4
2.85,4
0.08,3
2.86,3
4.07,3
0.39,3
3.24,3
0.2,3
3.37,2
2.84,2
0.99,2
655.19,2
2.69,2
3.26,2
2.79,2
655.21,2
9.18,2
3.49,2
2.81,2
2.71,2
2.0,1
655.04,1
0.85,1
